Index,DigiKey Part #,Manufacturer Part Number,Manufacturer,Description,Customer Reference,Quantity,Backorder,Unit Price,Extended Price
1,754-1200-ND,WP113GDT,Kingbright,LED GREEN DIFF RECT 2MMX5MM T/H,,100,0,$0.10670,$10.67
2,RXEF050HF-ND,RXEF050,Littelfuse Inc.,PTC RESET FUSE 72V 500MA RADIAL,,100,0,$0.26400,$26.40
3,497-11370-1-ND,1N5822,STMicroelectronics,DIODE SCHOTTKY 40V 3A DO201AD,,100,0,$0.20500,$20.50
4,RNF18FTD1K00CT-ND,RNF18FTD1K00,Stackpole Electronics Inc,RES 1K OHM 1% 1/8W AXIAL,,500,0,$0.01880,$9.40
,,,,,,,,Subtotal,$66.97
