Index,DigiKey Part #,Manufacturer Part Number,Manufacturer,Description,Customer Reference,Quantity,Backorder,Unit Price,Extended Price
1,3M161192-ND,"EPS300-1/4-48""-BLACK-200 PCS",3M,"HEATSHRINK TUBING 1/4-48"" 1=1PC",,1,0,$8.22000,$8.22
2,CN104B-25-ND,3239-22-1-0500-001-1-TS,CNC Tech,HOOK-UP STRND 22AWG BLK 25',,2,0,$8.82500,$17.65
3,CN104R-50-ND,3239-22-1-0500-004-1-TS,CNC Tech,HOOK-UP STRND 22AWG RED 50',,1,0,$16.79000,$16.79
4,5272-SS54CT-ND,SS54,EVVO,DIODE SCHOTTKY 40V 5A SMA,,50,0,$0.18500,$9.25
5,F2871CT-ND,2920L185DR,Littelfuse Inc.,PTC RESET FUSE 33V 1.85A 2920,,50,0,$0.54400,$27.20
6,3M161192-ND,"EPS300-1/4-48""-BLACK-200 PCS",3M,"HEATSHRINK TUBING 1/4-48"" 1=1PC",,1,0,$8.22000,$8.22
7,1030-H2P1.00CL25-ND,H2P1.00CL25,Techflex,"HEATSHRINK 1"" X 25' CLEAR",,1,0,$43.87000,$43.87
,,,,,,,,Subtotal,$131.20
