Index,DigiKey Part #,Manufacturer Part Number,Manufacturer,Description,Customer Reference,Quantity,Backorder,Unit Price,Extended Price
41,CR0805-FX-4701ELFCT-ND,CR0805-FX-4701ELF,Bourns Inc.,RES SMD 4.7K OHM 1% 1/8W 0805,,1,0,$0.10000,$0.10
42,118-CR0805-FX-2201ELFCT-ND,CR0805-FX-2201ELF,Bourns Inc.,RES SMD 2.2K OHM 1% 1/8W 0805,,1,0,$0.10000,$0.10
43,CR0805-FX-1002ELFCT-ND,CR0805-FX-1002ELF,Bourns Inc.,RES SMD 10K OHM 1% 1/8W 0805,,1,0,$0.10000,$0.10
44,5272-AMS1117-3.3CT-ND,AMS1117-3.3,EVVO,IC REG LINEAR 3.3V 1A SOT-223-3L,,1,0,$0.27000,$0.27
45,4518-AMS1117-3.3CT-ND,AMS1117-3.3,UMW,IC REG LINEAR 3.3V 1A SOT-223-3L,,1,0,$0.29000,$0.29
46,576-1281-1-ND,MIC5219-3.3YM5-TR,Microchip Technology,IC REG LINEAR 3.3V 500MA SOT23-5,,1,0,$1.19000,$1.19
47,576-2768-1-ND,MIC5219-3.3YML-TR,Microchip Technology,IC REG LINEAR 3.3V 500MA 6-DFN,,1,0,$1.81000,$1.81
48,MIC5219-3.3YMM-CT-ND,MIC5219-3.3YMM-TR,Microchip Technology,IC REG LINEAR 3.3V 500MA 8-MSOP,,1,0,$1.56000,$1.56
49,576-1827-5-ND,MIC5219-3.3YMM,Microchip Technology,IC REG LINEAR 3.3V 500MA 8-MSOP,,1,0,$1.56000,$1.56
50,5399-SLESD8D5.0CB1T5GCT-ND,SLESD8D5.0CB1T5G,"Shenzhen Slkormicro Semicon Co., Ltd.",BIDIRECTIONAL 12V 5V DFN1006-2L,,1,0,$0.10000,$0.10
51,5399-SLESD8LH5.0CT5GCT-ND,SLESD8LH5.0CT5G,"Shenzhen Slkormicro Semicon Co., Ltd.",BIDIRECTIONAL 4.5A@8/20US 5V 18V,,1,0,$0.10000,$0.10
52,5399-SLESD5Z5.0CNCT-ND,SLESD5Z5.0CN,"Shenzhen Slkormicro Semicon Co., Ltd.",10V BIDIRECTIONAL 9A@8/20US 5V 5,,1,0,$0.10000,$0.10
53,F2003-ND,60R025XU,Littelfuse Inc.,PTC RESET FUSE 60V 250MA RADIAL,,1,0,$0.59000,$0.59
54,F2006-ND,60R050XU,Littelfuse Inc.,PTC RESET FUSE 60V 500MA RADIAL,,1,0,$0.65000,$0.65
55,18-60R050XUL25-ND,60R050XUL25,Littelfuse Inc.,PTC 60V POLYFUSE RAD LEADS 2.5CM,,1,0,$0.54000,$0.54
56,F4159CT-ND,1812L050/30PR,Littelfuse Inc.,PTC RESET FUSE 30V 500MA 1812,,1,0,$1.09000,$1.09
57,F3733CT-ND,1206L050/15YR,Littelfuse Inc.,PTC RESET FUSE 15V 500MA 1206,,1,0,$0.56000,$0.56
58,F2866CT-ND,2920L050DR,Littelfuse Inc.,PTC RESET FUSE 60V 500MA 2920,,1,0,$0.74000,$0.74
59,F2112CT-ND,1206L050YR,Littelfuse Inc.,PTC RESET FUSE 6V 500MA 1206,,1,0,$0.56000,$0.56
