Index,DigiKey Part #,Manufacturer Part Number,Manufacturer,Description,Customer Reference,Quantity,Backorder,Unit Price,Extended Price
1,3457-BRK-USB-AP-3.1-ND,BRK-USB-AP-3.1,Saiko Systems Ltd.,USB 3.1 TYPE A MALE PLUG BREAKOU,,1,0,$8.08000,$8.08
2,3457-BRK-USB-CPV3.0-ND,BRK-USB-CPV3.0,Saiko Systems Ltd.,USB TYPE C MALE PLUG BREAKOUT BO,,1,0,$10.44000,$10.44
3,1568-12700-ND,12700,SparkFun Electronics,SPARKFUN USB TYPE A FEMALE BREAK,,1,0,$5.25000,$5.25
4,3457-BRK-USB-A-3.1V2.0-ND,BRK-USB-A-3.1V2.0,Saiko Systems Ltd.,USB 3.1 TYPE A FEMALE RECEPTACLE,,1,0,$7.65000,$7.65
5,1528-4440-ND,4440,Adafruit Industries LLC,I2C OLED DISPLAY STEMMA QWIIC,,1,0,$12.50000,$12.50
6,1568-18077-ND,18077,SparkFun Electronics,SPARKFUN CRYPTOGRAPHIC CO-PROCES,,1,0,$5.05000,$5.05
7,1528-4314-ND,4314,Adafruit Industries LLC,STEMMA QT ATECC608 BREAKOUT,,1,0,$4.95000,$4.95
,,,,,,,,Subtotal,$53.92
