Ref,Val,Package,PosX,PosY,Rot,Side
"D1","ESD9B5.0ST5G","D_SOD-923",135.350000,-114.250000,0.000000,top
"D2","LED_Small","LED_0805_2012Metric",128.887500,-117.650000,0.000000,top
"D3","ESD9B5.0ST5G","D_SOD-923",134.080000,-119.900000,0.000000,top
"D4","MBRA340","D_SMA",137.400000,-86.900000,180.000000,top
"F1","Polyfuse","Fuse_2920_7451Metric",130.400000,-105.287500,90.000000,top
"R1","R_Small","R_0805_2012Metric",133.387500,-117.650000,0.000000,top
"REF**","gold","gold",141.470000,-75.060000,0.000000,top
"REF**","gold","gold",133.970000,-75.060000,0.000000,top
